abbr,address,description,e_date,name,noti_date,organization,paper_date,rank_CCF,rank_CORE,rank_QUALIS,s_date,website,year
INFOCOM,"Beijing, China",,,International Conference on Computer Communications,2019-12-14,,2019-07-24,,,,2020-04-27,https://www.ieee-infocom.org,2020
Middleware,"UC Davis, California, USA",,,International Middleware Conference,2019-08-23,,2019-05-10,,,,2019-12-09,http://2019.middleware-conference.org/,2019
ICCCT,"Qingdao, China",,,International Conference On Computer & Communication Technology,2016-12-20,,2016-12-16,,,,2016-12-24,http://www.csetis.org/iccct2016/,2016
PSIVT,"Auckland, New Zealand",,,Pacific-Rim Symposium on Image and Video Technology,2015-09-09,,2015-07-24,,,,2015-11-23,http://www.psivt.org/psivt2015/,2015
ICST',"Limerick, Ireland",,,International Conference on Sensing Technology,2018-08-30,,2018-07-21,,,,2018-12-03,http://www.ece.ul.ie/icst2018,2018
APSCC,"Sydney, Australia",,,IEEE Asia-Pacific Services Computing Conference,2019-10-15,,2019-09-25,,,,2019-12-11,http://www-personal.usyd.edu.au/~bzho9612/apscc2019/,2019
ICUMT,"Munich, Germany",,,International Congress on Ultra Modern Telecommunications and Control Systems,2017-09-04,,2017-07-24,,,,2017-11-06,http://www.icumt.info/2017/,2017
CSA,"Guam, USA",,,International Conference on Computer Science and its Applications,2014-08-20,,2014-08-05,,,,2014-12-17,http://www.ftrai.org/csa2014/,2014
SoCPaR,"Porto, Portugal",,,International Conference of Soft Computing and Pattern Recognition,2018-10-31,,2018-10-15,,,,2018-12-13,http://www.mirlabs.net/socpar18/,2018
CoNEXT,"Orlando, Florida, USA",,,International Conference on emerging Networking EXperiments and Technologies,2019-09-10,,2019-06-19,,,,2019-12-09,https://conferences2.sigcomm.org/co-next/2019/,2019
